Médico_28,28,0
Médico_43,13,0
Médico_20,20,0
Médico_1,1,0
Médico_10,10,0
Médico_7,7,0
Médico_23,23,0
Médico_18,18,0
Médico_26,26,0
Médico_2,2,0
Médico_47,17,0
Médico_31,1,0
Médico_27,27,0
Médico_19,19,0
Médico_46,16,0
Médico_14,14,0
Médico_24,24,0
Médico_16,16,0
Médico_44,14,0
Médico_50,20,0
Médico_39,9,0
Médico_35,5,0
Médico_8,8,0
Médico_34,4,0
Médico_36,6,0
Médico_6,6,0
Médico_42,12,0
Médico_4,4,0
Médico_38,8,0
Médico_12,12,0
Médico_40,10,0
Médico_30,0,0
Médico_22,22,0
Médico_3,3,0
Médico_48,18,0
Médico_15,15,0
Médico_11,11,0
Médico_32,2,0
Médico_17,17,1
Médico_33,3,1
Médico_45,15,1
Médico_41,11,1
Médico_25,25,1
Médico_37,7,1
Médico_49,19,1
Médico_21,21,1
Médico_5,5,1
Médico_9,9,1
Médico_29,29,1
Médico_13,13,1
